network,attack,fraction_removed,repeat,n_nodes,n_edges,density,mean_degree,average_clustering,n_components,giant_component_size,giant_component_fraction,global_efficiency_approx,n_spikes,mean_firing_rate_hz,active_fraction,population_rate_mean,population_rate_cv
random_geometric,random,0.2,4,1140,56102,0.08641313556058716,98.42456140350878,0.6462286648794562,1,1140,1.0,0.3651031118911617,0,0.0,0.0,0.0,0.0
random_geometric,random,0.3,0,997,42346,0.08528799249153082,84.9468405215647,0.6467976201749865,1,997,1.0,0.3572208536525368,0,0.0,0.0,0.0,0.0
random_geometric,random,0.3,1,997,42301,0.08519735914571022,84.85656970912738,0.6446672477641684,1,997,1.0,0.36521898108286116,0,0.0,0.0,0.0,0.0
random_geometric,random,0.3,2,997,42592,0.08578345478201674,85.44032096288866,0.6469350549085825,1,997,1.0,0.3568740975805951,0,0.0,0.0,0.0,0.0
random_geometric,random,0.3,3,997,42250,0.08509464135378021,84.7542627883651,0.6435161996830563,1,997,1.0,0.35920927559429766,0,0.0,0.0,0.0,0.0
random_geometric,random,0.3,4,997,42432,0.08546120288576572,85.11935807422267,0.6469125137733248,1,997,1.0,0.36064003832770314,0,0.0,0.0,0.0,0.0
random_geometric,random,0.4,0,855,31298,0.08572798115507348,73.21169590643275,0.6453355811910765,1,855,1.0,0.3588777833536177,0,0.0,0.0,0.0,0.0
random_geometric,random,0.4,1,855,31160,0.08534998698933126,72.88888888888889,0.6482092490072701,1,855,1.0,0.36148164566366364,0,0.0,0.0,0.0,0.0
random_geometric,random,0.4,2,855,30785,0.08432282893024912,72.01169590643275,0.6463143389529483,1,855,1.0,0.3573878526819871,0,0.0,0.0,0.0,0.0
random_geometric,random,0.4,3,855,31434,0.08610049714450059,73.52982456140352,0.6423780018492775,1,855,1.0,0.3649436498642481,0,0.0,0.0,0.0,0.0
random_geometric,random,0.4,4,855,31389,0.08597723817741074,73.42456140350878,0.646436036224006,1,855,1.0,0.35830957724611906,0,0.0,0.0,0.0,0.0
random_geometric,random,0.5,0,713,21781,0.08581007611453426,61.096774193548384,0.6450192723782293,1,713,1.0,0.36035730169874725,0,0.0,0.0,0.0,0.0
random_geometric,random,0.5,1,713,21436,0.0844508880028996,60.12903225806452,0.642902164646413,1,713,1.0,0.3592355426252051,0,0.0,0.0,0.0,0.0
random_geometric,random,0.5,2,713,21936,0.08642072584584837,61.53155680224404,0.6439146797276494,1,713,1.0,0.3623048505215793,0,0.0,0.0,0.0,0.0
