base_sigma,Gini_mean,Gini_std,k,P_k_mean,P_k_std,P_k_sem,n_sims
0.05,0.735762962962963,0.009364889864296375,59,0.005227788527329466,0.0037231469371602046,0.0016650419283420709,5
0.05,0.735762962962963,0.009364889864296375,60,0.007435641091757407,0.005050731979962563,0.002258756008665679,5
0.05,0.735762962962963,0.009364889864296375,61,0.006223546729417879,0.005369292632840352,0.0024012206636239686,5
0.05,0.735762962962963,0.009364889864296375,62,0.006830603815854203,0.004453852736243847,0.0019918234960029364,5
0.05,0.735762962962963,0.009364889864296375,63,0.007229786410130704,0.004885296053285603,0.0021847708130716082,5
0.05,0.735762962962963,0.009364889864296375,64,0.008841666345195289,0.00817939064293237,0.0036579346984244978,5
0.05,0.735762962962963,0.009364889864296375,65,0.005421752310025643,0.004888104621555099,0.002186026842985617,5
0.05,0.735762962962963,0.009364889864296375,66,0.007028375703260939,0.006347759981978597,0.0028388045649113966,5
0.05,0.735762962962963,0.009364889864296375,67,0.006030801154048407,0.004770636661198404,0.002133493574078453,5
0.05,0.735762962962963,0.009364889864296375,68,0.005627777563463526,0.004801880552115696,0.002147466266872983,5
0.05,0.735762962962963,0.009364889864296375,69,0.004013093303740145,0.0037402696054438813,0.0016726994183897672,5
0.05,0.735762962962963,0.009364889864296375,70,0.0038187177555748216,0.004349694605198136,0.0019452425637174282,5
0.05,0.735762962962963,0.009364889864296375,71,0.004619924999035586,0.004526550182749281,0.002024334782438297,5
0.05,0.735762962962963,0.009364889864296375,72,0.0040169014084507045,0.00564316009350083,0.0025236979153963847,5
0.05,0.735762962962963,0.009364889864296375,73,0.004012072434607645,0.004699462125955012,0.002101663354264217,5
0.05,0.735762962962963,0.009364889864296375,74,0.003012681538270998,0.003956570933480603,0.0017694323130124853,5
0.05,0.735762962962963,0.009364889864296375,75,0.001605438077506411,0.0018193452586279847,0.000813635934566822,5
0.05,0.735762962962963,0.009364889864296375,76,0.0020072434607645876,0.0028412491876400273,0.0012706452649158312,5
0.05,0.735762962962963,0.009364889864296375,77,0.0020060362173038226,0.0027468989441505427,0.0012284505532886023,5
0.05,0.735762962962963,0.009364889864296375,78,0.0022042308340456465,0.003345650668497952,0.0014962204647458069,5
0.05,0.735762962962963,0.009364889864296375,79,0.0010036217303822938,0.0014206245938200137,0.0006353226324579156,5
