k,P_k,P_k_error
119,0.00045332725095512344,0.00036121497752442306
120,0.00035272362922474115,0.00026612323352201986
121,0.0003018108651911469,0.0003018108651911469
122,0.00040271996350573077,0.00035308455187217847
123,0.00025150905432595576,0.0002515090543259558
124,0.00025150905432595576,0.0002515090543259558
125,0.0006039272069664952,0.0005529705686578348
126,0.0003524181526405396,0.0003033860978927947
127,0.00015090543259557344,0.00015090543259557344
128,0.00035211267605633805,0.000352112676056338
129,0.00025150905432595576,0.0002515090543259558
130,0.00025150905432595576,0.0002515090543259558
131,0.0003018108651911469,0.0003018108651911469
132,0.00025150905432595576,0.0002515090543259558
133,0.0003018108651911469,0.0003018108651911469
134,0.00025150905432595576,0.0002515090543259558
135,0.0003018108651911469,0.0003018108651911469
136,0.00015090543259557344,0.00015090543259557344
137,0.00025150905432595576,0.0002515090543259558
138,0.0003018108651911469,0.0003018108651911469
139,0.0003018108651911469,0.0003018108651911469
140,0.0003018108651911469,0.0003018108651911469
141,0.00025150905432595576,0.0002515090543259558
142,0.0003018108651911469,0.0003018108651911469
143,0.0002012072434607646,0.00020120724346076458
144,0.00025150905432595576,0.0002515090543259558
145,0.00015090543259557344,0.00015090543259557344
146,0.0,0.0
147,0.0002012072434607646,0.00020120724346076458
148,0.0002012072434607646,0.00020120724346076458
149,0.0002012072434607646,0.00020120724346076458
150,0.0003018108651911469,0.0003018108651911469
151,0.00015090543259557344,0.00015090543259557344
152,5.030181086519115e-05,5.0301810865191146e-05
153,5.030181086519115e-05,5.0301810865191146e-05
154,0.00015090543259557344,0.00015090543259557344
155,5.030181086519115e-05,5.0301810865191146e-05
